stock_id,report_period,announcement_datetime,effective_trade_date,revenue,revenue_yoy,revenue_mom,gross_margin,operating_margin,eps,roe,debt_ratio,free_cash_flow,pe_ratio,pb_ratio,dividend_yield,updated_at
1216,2026-07-01,2026-07-27T00:00:00,2026-07-28,58301112000.0,0.0459846447000564,-0.0148566749410932,,,,,,,20.84,3.03,3.89,2026-07-27T23:59:00.786475+08:00
1216,2026-07-01,2026-07-28T00:00:00,2026-07-29,58301112000.0,0.0459846447000564,-0.0148566749410932,,,,,,,20.84,3.03,3.89,2026-07-28T02:18:02.565442+08:00
1303,2026-07-01,2026-07-27T00:00:00,2026-07-28,27134592000.0,0.3178610669429578,-0.0588391335404392,,,,,,,75.32,3.6,0.46,2026-07-27T23:59:01.072806+08:00
1303,2026-07-01,2026-07-28T00:00:00,2026-07-29,27134592000.0,0.3178610669429578,-0.0588391335404392,,,,,,,75.32,3.6,0.46,2026-07-28T02:18:02.835184+08:00
2059,2026-07-01,2026-07-27T00:00:00,2026-07-28,4442581000.0,2.2052305812021435,0.1717821023537291,,,,,,,72.94,25.01,0.62,2026-07-27T23:59:01.337121+08:00
2059,2026-07-01,2026-07-28T00:00:00,2026-07-29,4442581000.0,2.2052305812021435,0.1717821023537291,,,,,,,72.94,25.01,0.62,2026-07-28T02:18:03.096271+08:00
2301,2026-07-01,2026-07-27T00:00:00,2026-07-28,18655552000.0,0.3697501592365457,0.075021239036678,,,,,,,31.18,5.46,2.36,2026-07-27T23:59:01.639466+08:00
2301,2026-07-01,2026-07-28T00:00:00,2026-07-29,18655552000.0,0.3697501592365457,0.075021239036678,,,,,,,31.18,5.46,2.36,2026-07-28T02:18:03.356572+08:00
2303,2026-07-01,2026-07-27T00:00:00,2026-07-28,23124962000.0,0.228543590392003,0.0078978789653219,,,,,,,31.66,3.9,2.07,2026-07-27T23:59:01.907591+08:00
2303,2026-07-01,2026-07-28T00:00:00,2026-07-29,23124962000.0,0.228543590392003,0.0078978789653219,,,,,,,31.66,3.9,2.07,2026-07-28T02:18:03.646365+08:00
2308,2026-07-01,2026-07-27T00:00:00,2026-07-28,65602611000.0,0.5542638489110967,0.1126287203801741,,,,,,,64.71,15.22,0.66,2026-07-27T23:59:02.211272+08:00
2308,2026-07-01,2026-07-28T00:00:00,2026-07-29,65602611000.0,0.5542638489110967,0.1126287203801741,,,,,,,64.71,15.22,0.66,2026-07-28T02:18:03.951075+08:00
2317,2026-07-01,2026-07-27T00:00:00,2026-07-28,821762936000.0,0.5211164672139996,-0.043804966451301,,,,,,,17.97,1.99,2.83,2026-07-27T23:59:03.086871+08:00
2317,2026-07-01,2026-07-28T00:00:00,2026-07-29,821762936000.0,0.5211164672139996,-0.043804966451301,,,,,,,17.97,1.99,2.83,2026-07-28T02:18:04.213924+08:00
2327,2026-07-01,2026-07-27T00:00:00,2026-07-28,15359009000.0,0.3891396817615717,0.0199750700946061,,,,,,,49.21,7.7,0.96,2026-07-27T23:59:03.819750+08:00
2327,2026-07-01,2026-07-28T00:00:00,2026-07-29,15359009000.0,0.3891396817615717,0.0199750700946061,,,,,,,49.21,7.7,0.96,2026-07-28T02:18:04.531057+08:00
2330,2026-07-01,2026-07-24T00:00:00,2026-07-27,442679969000.0,0.6786685548491262,0.0616458923238072,0.6624575805889452,0.5810458894296273,22.08,0.0965549143233591,0.3150417521447591,,32.33,10.59,0.91,2026-07-24T14:24:57.504699+08:00
2330,2026-07-01,2026-07-27T00:00:00,2026-07-28,442679969000.0,0.6786685548491262,0.0616458923238072,,,,,,,31.59,10.34,0.94,2026-07-27T23:59:04.093392+08:00
2330,2026-07-01,2026-07-28T00:00:00,2026-07-29,442679969000.0,0.6786685548491262,0.0616458923238072,,,,,,,31.59,10.34,0.94,2026-07-28T02:18:04.805697+08:00
2344,2026-07-01,2026-07-27T00:00:00,2026-07-28,20596799000.0,1.8987676071204795,0.0297656009236133,,,,,,,47.48,6.17,0.31,2026-07-27T23:59:04.530370+08:00
2344,2026-07-01,2026-07-28T00:00:00,2026-07-29,20596799000.0,1.8987676071204795,0.0297656009236133,,,,,,,47.48,6.17,0.31,2026-07-28T02:18:05.077993+08:00
2345,2026-07-01,2026-07-27T00:00:00,2026-07-28,39554529000.0,0.6116410559844034,0.3819207260321677,,,,,,,42.36,19.17,0.67,2026-07-27T23:59:04.807696+08:00
2345,2026-07-01,2026-07-28T00:00:00,2026-07-29,39554529000.0,0.6116410559844034,0.3819207260321677,,,,,,,42.36,19.17,0.67,2026-07-28T02:18:05.415880+08:00
2357,2026-07-01,2026-07-27T00:00:00,2026-07-28,106723044000.0,0.5563419226510211,0.5446064913130955,,,,,,,13.58,1.97,5.53,2026-07-27T23:59:05.092813+08:00
2357,2026-07-01,2026-07-28T00:00:00,2026-07-29,106723044000.0,0.5563419226510211,0.5446064913130955,,,,,,,13.58,1.97,5.53,2026-07-28T02:18:05.686182+08:00
2360,2026-07-01,2026-07-27T00:00:00,2026-07-28,4114136000.0,0.7302446781174181,-0.095716179441433,,,,,,,66.23,32.08,0.93,2026-07-27T23:59:05.787344+08:00
2360,2026-07-01,2026-07-28T00:00:00,2026-07-29,4114136000.0,0.7302446781174181,-0.095716179441433,,,,,,,66.23,32.08,0.93,2026-07-28T02:18:06.512514+08:00
2368,2026-07-01,2026-07-27T00:00:00,2026-07-28,8255188000.0,0.7822292794927401,-0.0590479286474797,,,,,,,40.41,13.13,1.09,2026-07-27T23:59:06.477844+08:00
2368,2026-07-01,2026-07-28T00:00:00,2026-07-29,8255188000.0,0.7822292794927401,-0.0590479286474797,,,,,,,40.41,13.13,1.09,2026-07-28T02:18:07.057446+08:00
2382,2026-07-01,2026-07-27T00:00:00,2026-07-28,385190820000.0,1.0287247195164615,0.2366430022282866,,,,,,,16.19,5.98,4.84,2026-07-27T23:59:06.761449+08:00
2382,2026-07-01,2026-07-28T00:00:00,2026-07-29,385190820000.0,1.0287247195164615,0.2366430022282866,,,,,,,16.19,5.98,4.84,2026-07-28T02:18:08.005610+08:00
2383,2026-07-01,2026-07-27T00:00:00,2026-07-28,17732956000.0,1.206932445895298,0.1353767775720753,,,,,,,104.45,35.99,0.52,2026-07-27T23:59:07.515762+08:00
2383,2026-07-01,2026-07-28T00:00:00,2026-07-29,17732956000.0,1.206932445895298,0.1353767775720753,,,,,,,104.45,35.99,0.52,2026-07-28T02:18:08.270484+08:00
2395,2026-07-01,2026-07-27T00:00:00,2026-07-28,10122989000.0,0.7339187977693178,0.3089234723089265,,,,,,,44.76,10.1,1.93,2026-07-27T23:59:07.785166+08:00
2395,2026-07-01,2026-07-28T00:00:00,2026-07-29,10122989000.0,0.7339187977693178,0.3089234723089265,,,,,,,44.76,10.1,1.93,2026-07-28T02:18:08.987482+08:00
2408,2026-07-01,2026-07-27T00:00:00,2026-07-28,29388309000.0,6.213354284927444,0.0621168465869881,,,,,,,39.03,7.0,0.31,2026-07-27T23:59:08.457498+08:00
2408,2026-07-01,2026-07-28T00:00:00,2026-07-29,29388309000.0,6.213354284927444,0.0621168465869881,,,,,,,39.03,7.0,0.31,2026-07-28T02:18:10.456927+08:00
2412,2026-07-01,2026-07-27T00:00:00,2026-07-28,21342447000.0,0.1140407324682672,0.0931858688478977,,,,,,,27.93,2.75,3.7,2026-07-27T23:59:08.724038+08:00
2412,2026-07-01,2026-07-28T00:00:00,2026-07-29,21342447000.0,0.1140407324682672,0.0931858688478977,,,,,,,27.93,2.75,3.7,2026-07-28T02:18:11.033410+08:00
2449,2026-07-01,2026-07-27T00:00:00,2026-07-28,3621671000.0,0.2863738189557403,-0.0411064338813008,,,,,,,37.45,6.2,0.54,2026-07-27T23:59:08.992448+08:00
2449,2026-07-01,2026-07-28T00:00:00,2026-07-29,3621671000.0,0.2863738189557403,-0.0411064338813008,,,,,,,37.45,6.2,0.54,2026-07-28T02:18:11.311544+08:00
2454,2026-07-01,2026-07-27T00:00:00,2026-07-28,58011756000.0,0.0279644469384658,0.2229945273020468,,,,,,,58.65,15.05,1.45,2026-07-27T23:59:09.367199+08:00
2454,2026-07-01,2026-07-28T00:00:00,2026-07-29,58011756000.0,0.0279644469384658,0.2229945273020468,,,,,,,58.65,15.05,1.45,2026-07-28T02:18:11.595114+08:00
2603,2026-07-01,2026-07-27T00:00:00,2026-07-28,39141253000.0,0.2999471170277956,0.1294147224970565,,,,,,,8.89,0.76,7.86,2026-07-27T23:59:09.636922+08:00
2603,2026-07-01,2026-07-28T00:00:00,2026-07-29,39141253000.0,0.2999471170277956,0.1294147224970565,,,,,,,8.89,0.76,7.86,2026-07-28T02:18:11.869090+08:00
2880,2026-07-01,2026-07-27T00:00:00,2026-07-28,7496825000.0,0.2156054827892222,0.030881514338003,,,,,,,20.0,2.37,3.5,2026-07-27T23:59:09.973157+08:00
2880,2026-07-01,2026-07-28T00:00:00,2026-07-29,7496825000.0,0.2156054827892222,0.030881514338003,,,,,,,20.0,2.37,3.5,2026-07-28T02:18:12.143303+08:00
2881,2026-07-01,2026-07-27T00:00:00,2026-07-28,22157770000.0,-0.2845252520033937,-0.2713061468092297,,,,,,,17.88,1.99,3.27,2026-07-27T23:59:10.372963+08:00
2881,2026-07-01,2026-07-28T00:00:00,2026-07-29,22157770000.0,-0.2845252520033937,-0.2713061468092297,,,,,,,17.88,1.99,3.27,2026-07-28T02:18:12.432737+08:00
2882,2026-07-01,2026-07-27T00:00:00,2026-07-28,32306426000.0,-19.7708884824286,0.2892106867157182,,,,,,,14.95,1.97,3.55,2026-07-27T23:59:10.664853+08:00
2882,2026-07-01,2026-07-28T00:00:00,2026-07-29,32306426000.0,-19.7708884824286,0.2892106867157182,,,,,,,14.95,1.97,3.55,2026-07-28T02:18:12.712158+08:00
2883,2026-07-01,2026-07-27T00:00:00,2026-07-28,13403740000.0,-0.0620320653539245,0.1571251770598161,,,,,,,17.25,1.54,3.26,2026-07-27T23:59:12.136790+08:00
