stock_id,trade_date,dealer_net,foreign_net,investment_trust_net,institutional_net,margin_balance,short_balance,margin_change,short_change,securities_lending,updated_at
752,2026-07-01,153634,104475,0,258109,967.0,2.0,,,,2026-07-29T02:03:30.381249+08:00
752,2026-07-02,585142,547000,0,1132142,985.0,2.0,18.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-03,145285,136000,0,281285,980.0,2.0,-5.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-06,-188024,100868,0,-87156,985.0,2.0,5.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-07,872385,-269000,0,603385,973.0,2.0,-12.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-08,463387,540807,0,1004194,858.0,5.0,-115.0,3.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-09,47363,-131906,0,-84543,861.0,6.0,3.0,1.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-13,-270717,-177000,0,-447717,832.0,7.0,-29.0,1.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-14,665449,214937,0,880386,811.0,8.0,-21.0,1.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-15,1017865,384876,0,1402741,817.0,10.0,6.0,2.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-16,902804,134879,0,1037683,740.0,10.0,-77.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-17,3233370,102000,0,3335370,620.0,11.0,-120.0,1.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-20,1681927,1083000,0,2764927,627.0,11.0,7.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-21,84115,-44000,0,40115,570.0,12.0,-57.0,1.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-22,217431,-320900,0,-103469,566.0,12.0,-4.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-23,-27661,-42000,0,-69661,573.0,12.0,7.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-24,364136,-110000,0,254136,568.0,12.0,-5.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-27,823693,194000,0,1017693,589.0,12.0,21.0,0.0,,2026-07-29T02:03:30.381249+08:00
752,2026-07-28,5385445,3082000,0,8467445,602.0,14.0,13.0,2.0,,2026-07-29T02:03:30.381249+08:00
00752,2026-07-01,153634,104475,0,258109,967.0,2.0,,,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-02,585142,547000,0,1132142,985.0,2.0,18.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-03,145285,136000,0,281285,980.0,2.0,-5.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-06,-188024,100868,0,-87156,985.0,2.0,5.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-07,872385,-269000,0,603385,973.0,2.0,-12.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-08,463387,540807,0,1004194,858.0,5.0,-115.0,3.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-09,47363,-131906,0,-84543,861.0,6.0,3.0,1.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-13,-270717,-177000,0,-447717,832.0,7.0,-29.0,1.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-14,665449,214937,0,880386,811.0,8.0,-21.0,1.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-15,1017865,384876,0,1402741,817.0,10.0,6.0,2.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-16,902804,134879,0,1037683,740.0,10.0,-77.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-17,3233370,102000,0,3335370,620.0,11.0,-120.0,1.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-20,1681927,1083000,0,2764927,627.0,11.0,7.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-21,84115,-44000,0,40115,570.0,12.0,-57.0,1.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-22,217431,-320900,0,-103469,566.0,12.0,-4.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-23,-27661,-42000,0,-69661,573.0,12.0,7.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-24,364136,-110000,0,254136,568.0,12.0,-5.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-27,823693,194000,0,1017693,589.0,12.0,21.0,0.0,,2026-07-29T16:12:40.563819+08:00
00752,2026-07-28,5385445,3082000,0,8467445,602.0,14.0,13.0,2.0,,2026-07-29T16:12:40.563819+08:00
