stock_id,trade_date,adjusted_close,close,high,low,open,volume,updated_at
3653.TW,2024-07-22,1048.0933837890625,1065.0,1155.0,1040.0,1145.0,1125715,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-07-23,1112.0615234375,1130.0,1145.0,1090.0,1095.0,966220,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-07-26,1082.537841796875,1100.0,1120.0,1055.0,1055.0,679291,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-07-29,1033.33154296875,1050.0,1135.0,1050.0,1130.0,793231,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-07-30,1092.379150390625,1110.0,1115.0,1040.0,1040.0,872055,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-07-31,1141.5853271484375,1160.0,1180.0,1120.0,1120.0,1489457,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-01,1116.982177734375,1135.0,1190.0,1115.0,1190.0,1018368,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-02,1013.6490478515625,1030.0,1160.0,1030.0,1090.0,1608383,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-05,1023.4902954101562,1040.0,1050.0,934.0,934.0,2633499,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-06,1067.7760009765625,1085.0,1100.0,990.0,1060.0,2317423,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-07,1141.5853271484375,1160.0,1160.0,1060.0,1080.0,1728671,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-08,1028.410888671875,1045.0,1150.0,1045.0,1120.0,1614414,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-09,1062.8553466796875,1080.0,1105.0,1050.0,1085.0,1586542,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-12,1057.934814453125,1075.0,1105.0,1055.0,1090.0,1064308,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-13,1102.2203369140625,1120.0,1125.0,1085.0,1085.0,801678,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-14,1166.1884765625,1185.0,1190.0,1140.0,1140.0,1294995,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-15,1195.7122802734375,1215.0,1220.0,1175.0,1185.0,993033,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-16,1313.8072509765625,1335.0,1335.0,1255.0,1260.0,2149393,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-19,1363.0135498046875,1385.0,1400.0,1335.0,1350.0,1928465,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-20,1318.7279052734375,1340.0,1420.0,1320.0,1405.0,2160202,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-21,1333.4898681640625,1355.0,1355.0,1265.0,1330.0,2118786,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-22,1338.4105224609375,1360.0,1375.0,1305.0,1365.0,1097388,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-23,1358.0928955078125,1380.0,1380.0,1320.0,1325.0,689490,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-26,1318.7279052734375,1340.0,1390.0,1330.0,1385.0,1141479,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-27,1308.8865966796875,1330.0,1360.0,1305.0,1325.0,947109,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-28,1284.2835693359375,1305.0,1345.0,1285.0,1330.0,989093,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-29,1279.3629150390625,1300.0,1310.0,1260.0,1285.0,670639,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-08-30,1333.4898681640625,1355.0,1365.0,1300.0,1315.0,897609,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-02,1264.60107421875,1285.0,1380.0,1280.0,1365.0,758295,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-03,1254.759765625,1275.0,1305.0,1265.0,1285.0,777503,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-04,1195.7122802734375,1215.0,1260.0,1200.0,1225.0,836708,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-05,1195.7122802734375,1215.0,1250.0,1200.0,1225.0,891257,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-06,1215.394775390625,1235.0,1275.0,1215.0,1215.0,985312,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-09,1205.553466796875,1225.0,1240.0,1200.0,1210.0,773200,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-10,1195.7122802734375,1215.0,1240.0,1200.0,1230.0,816001,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-11,1195.7122802734375,1215.0,1255.0,1205.0,1225.0,498302,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-12,1279.3629150390625,1300.0,1330.0,1250.0,1255.0,1075300,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-13,1299.04541015625,1320.0,1335.0,1295.0,1305.0,777386,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-16,1323.6484375,1345.0,1345.0,1295.0,1330.0,452443,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-18,1353.17236328125,1375.0,1385.0,1335.0,1350.0,1000537,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-19,1387.61669921875,1410.0,1410.0,1355.0,1375.0,917333,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-20,1397.4578857421875,1420.0,1430.0,1355.0,1415.0,1842209,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-23,1338.4105224609375,1360.0,1410.0,1345.0,1410.0,1001220,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-24,1313.8072509765625,1335.0,1370.0,1310.0,1355.0,785391,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-25,1343.3310546875,1365.0,1380.0,1350.0,1355.0,628688,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-26,1308.8865966796875,1330.0,1375.0,1320.0,1365.0,908033,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-27,1289.2041015625,1310.0,1355.0,1310.0,1335.0,578001,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-09-30,1274.4422607421875,1295.0,1335.0,1285.0,1310.0,641620,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-01,1328.5692138671875,1350.0,1380.0,1300.0,1300.0,1270435,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-04,1358.0928955078125,1380.0,1385.0,1330.0,1340.0,1146618,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-07,1387.61669921875,1410.0,1420.0,1380.0,1385.0,925387,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-08,1436.822998046875,1460.0,1480.0,1390.0,1400.0,1000902,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-09,1431.90234375,1455.0,1475.0,1420.0,1460.0,757949,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-11,1481.1085205078125,1505.0,1510.0,1450.0,1460.0,1471910,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-14,1466.3466796875,1490.0,1525.0,1460.0,1500.0,848325,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-15,1466.3466796875,1490.0,1500.0,1440.0,1495.0,896176,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-16,1422.0611572265625,1445.0,1520.0,1440.0,1470.0,1397839,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-17,1466.3466796875,1490.0,1490.0,1430.0,1455.0,529492,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-18,1461.4261474609375,1485.0,1555.0,1485.0,1495.0,890631,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-21,1471.267333984375,1495.0,1510.0,1475.0,1490.0,394315,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-22,1505.711669921875,1530.0,1545.0,1505.0,1510.0,1042635,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-23,1456.5054931640625,1480.0,1515.0,1480.0,1515.0,603462,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-24,1446.6641845703125,1470.0,1520.0,1460.0,1475.0,724567,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-25,1466.3466796875,1490.0,1495.0,1440.0,1475.0,851200,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-28,1441.74365234375,1465.0,1510.0,1455.0,1490.0,479073,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-29,1436.822998046875,1460.0,1470.0,1410.0,1460.0,675121,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-10-30,1451.5848388671875,1475.0,1505.0,1460.0,1460.0,577280,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-01,1397.4578857421875,1420.0,1470.0,1410.0,1430.0,916339,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-04,1436.822998046875,1460.0,1460.0,1390.0,1420.0,985292,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-05,1461.4261474609375,1485.0,1485.0,1445.0,1450.0,634663,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-06,1540.1561279296875,1565.0,1580.0,1485.0,1485.0,1284683,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-07,1490.9498291015625,1515.0,1625.0,1500.0,1565.0,1701313,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-08,1500.791015625,1525.0,1555.0,1505.0,1530.0,812256,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-11,1549.997314453125,1575.0,1575.0,1515.0,1525.0,779620,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-12,1490.9498291015625,1515.0,1570.0,1490.0,1570.0,1341713,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-13,1471.267333984375,1495.0,1530.0,1495.0,1515.0,607652,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-14,1525.394287109375,1550.0,1550.0,1490.0,1500.0,803347,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-15,1466.3466796875,1490.0,1580.0,1445.0,1540.0,1442264,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-18,1382.696044921875,1405.0,1485.0,1375.0,1480.0,1429197,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-19,1441.74365234375,1465.0,1480.0,1420.0,1425.0,844287,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-20,1402.3785400390625,1425.0,1425.0,1425.0,1425.0,1342096,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-21,1392.5372314453125,1415.0,1450.0,1405.0,1425.0,1084604,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-22,1431.90234375,1455.0,1475.0,1445.0,1450.0,878617,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-25,1476.18798828125,1500.0,1515.0,1470.0,1475.0,7018262,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-26,1382.696044921875,1405.0,1495.0,1395.0,1495.0,1540866,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-27,1318.7279052734375,1340.0,1425.0,1335.0,1410.0,1104519,2026-07-22T15:57:21.453357+08:00
3653.TW,2024-11-28,1289.2041015625,1310.0,1355.0,1295.0,1335.0,1400439,2026-07-22T15:57:21.453357+08:00
